timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
688000,688000,0,nan,nan,-9.08E-07,-8.43E-09,3.88E-07,0,0,0,-0.000258766,1.62E-05,0.000193412,0.00019266,-0.000232582,-2.44E-05,0,-0.00925835,0.01032132,0.050283033,1.5599633,1.5599612,nan,0.1,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1000000,1000000,804000,36.3215774,127.4117224,0.000423478,-0.000435255,0.033328578,0,0,0,0.00188843,-0.003804698,0.010421106,0.038468298,-0.000232582,-2.44E-05,0,0.031043503,0.04006425,-0.023956409,1.5599047,1.5599612,28.71612,0.10480337,0.93646055,1.5665587,4.5320535,0.45344916,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
1500000,1500000,804000,36.3215774,127.4117224,0.000650008,-0.000953858,0.03746528,0,0,0,0.00420489,-0.000914773,0.022719575,0.03454314,-0.000232582,-2.44E-05,0,0.032478996,0.02180188,-0.032347623,1.560431,1.5599612,28.71612,0.1,0.29665792,1.0259138,1.0494,0.47194183,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2000000,2000000,804000,36.3215774,127.4117224,0.002369086,-0.00064229,0.049021576,0,0,0,0.005733732,-0.000555052,0.031282593,0.035209328,-0.000232582,-2.44E-05,0,0.009126551,-0.017430993,0.004647299,1.5605791,1.5599612,28.71612,0.1,0.15313445,0.85940415,0.6613425,0.50407183,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
2500000,2500000,804000,36.3215774,127.4117224,-0.000342213,0.000176778,0.058339447,0,0,0,-0.003062748,0.001726107,0.03415228,0.030267758,-0.000232582,-2.44E-05,0,0.021403832,0.026382808,-0.03524031,1.5610796,1.5599612,28.71612,0.1,0.19305027,0.81112224,0.6557228,0.53892505,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3000000,3000000,804000,36.3215774,127.4117224,-0.000606554,0.001457735,0.06567369,0,0,0,0.001455143,0.00362092,0.03333114,0.023048462,-0.000232582,-2.44E-05,0,-0.014185172,0.037350085,0.020327976,1.561199,1.5599612,28.71612,0.1,0.12346252,0.82057995,0.41607812,0.56669223,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
3500000,3500000,804000,36.3215774,127.4117224,0.00036027,-0.000507532,0.07059642,0,0,0,0.000650299,-0.003743398,0.03452596,0.019115891,-0.000232582,-2.44E-05,0,-0.04717407,-0.020505607,0.005043111,1.5615817,1.5599612,28.71612,0.1,0.1474533,0.8522975,0.43579534,0.58034194,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4000000,4000000,804000,36.3215774,127.4117224,-0.002575272,-0.001352856,0.07130315,0,0,0,-0.012009038,-0.000279589,0.035053957,0.013926484,-0.000232582,-2.44E-05,0,-0.012227984,-0.002341311,0.000187196,1.5616859,1.5599612,28.71612,0.1,0.1715199,0.8832835,0.4374134,0.5784843,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,1,1,1,2
4500000,4500000,804000,36.3215774,127.4117224,-0.005669685,0.001706372,0.07643129,0,0,0,-0.010369507,0.006129753,0.03498919,0.0135008,-0.000232582,-2.44E-05,0,0.009303774,0.010132142,-0.06467755,1.5619129,0.000198782,28.71612,0.1,0.11754637,0.90345037,0.24858882,0.56468695,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
5000000,5000000,804000,36.3215774,127.4117224,-0.003505234,0.002716324,0.0668962,0,0,0,-0.004025854,0.002837943,0.024798099,-0.006700386,-0.000232582,-2.44E-05,0,-0.11507376,-0.029478446,-0.011536292,1.5576682,0.000198782,28.71612,0.1,0.12841561,0.91356987,0.30210665,0.5451056,inf,inf,inf,inf,0,1,0,1,1,0,1,0,2,1,1,1,2
